Title,Date,Month,Fiscal Year,Library,Primary Event Type,Event Type Option 1,Event Type Option 2,Primary Age Group,Age Group Option 1,Age Group Option 2,Description,Internal Notes,Published Status,Attendance
Tutoring and Homework Help,09/10/2016,Sep,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the Children's area. To register or for more information, please call Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,No,
Lapsit Rhyme Time,09/12/2016,Sep,FY 17,Germantown,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"A special storytime for ages 0-11 months that includes stories, fingerplays, songs and other early literacy activities.",,Yes,36
Homework Help for Elementary Students,09/12/2016,Sep,FY 17,Wheaton,Homework,ACE - All Children Excel,,Elementary School Age,,,For students Kindergarten to grade 6. Reading and math help and encouragement from older students.,,Yes,0
Read to a Dog,09/12/2016,Sep,FY 17,Bethesda,Special Event,ACE - All Children Excel,,Elementary School Age,,,"School-age children, especially beginners learning to read and those who want to improve their confidence in reading skills, are invited to practice reading aloud in short (10-15 minute) semi-private sessions with certified therapy dogs. First come, first served. No registration required.",,Yes,33
Homework Help for Elementary Students,09/12/2016,Sep,FY 17,Wheaton,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,tumped by an Assignment? Stuck on a tough math problem? Want to practice for your Spelling Test? Wheaton Library's Homework Helpers are here for you! Homeowrk Helpers will be available for 30 minute 1 on 1 Help Sessions. Sign-up for your Homework Help Session on the Waiting List when you arrive.,,Yes,0
Tutoring and Homework Help,09/12/2016,Sep,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,No,
Tutoring and Homework Help,09/12/2016,Sep,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,Yes,5
Baby Storytime,09/13/2016,Sep,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"This is a storytime geared toward babies. Recommended ages are newborn to 18 months. Join us as we sing songs,read books and enjoy fingerplays. Due to the popularity of storytime we are now requiring registration. Please register for the adult caregiver attending.",,Yes,38
Blocks: Play and Exploration,09/13/2016,Sep,FY 17,Wheaton,Science & Math (STEM),ACE - All Children Excel,,Babies and Toddlers,Preschool and Kindergarten,,"Free play and exploration with our giant building bricks (age 18 mos to 3), soft vinyl blocks (6 mos to 18 mos) and Duplo-type bricks (2 to 5). We have plenty, please leave your blocks at home.",,Yes,11
Baby Storytime,09/13/2016,Sep,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"This is a storytime geared toward babies. Recommended ages are newborn to 18 months. Join us as we sing songs,read books and enjoy fingerplays. Storytime is limited to 15 parent/baby pairs. Due to the popularity of storytime we are now requiring registration. Please register for the adult caregiver attending.",,Yes,58
Toddler Time,09/13/2016,Sep,FY 17,Chevy Chase,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"Please join us for fun learning activities. We'll read, sing, dance, explore and learn finger plays just right for two and three year olds. No registration needed.",,Yes,55
Rhyme Time Storytime,11/02/2016,Nov,FY 17,Long Branch,Science & Math (STEM),Storytime,,Babies and Toddlers,Preschool and Kindergarten,,"A storytime for ages 5 and under, with a caregiver, that will include stories, fingerplays, songs and other early literacy activities. No registration required.",,Yes,18
BIG BABY STORYTIME -- FOR WALKERS,09/13/2016,Sep,FY 17,Rockville Memorial,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"Big Baby Storytime is for Walkers, babies ages 12 to 24 months, with a parent or caregiver. Join us for stories, songs and rhymes. After storytime, we'll bring out the baby toys for playtime. Free! No registration necessary. An ACE (All Children Excel) Program; a specialized program developed by MCPL with content for Early Literacy and to help children learn. Library customers can get 2 hours of FREE PARKING when they park in one of the Rockville Town Square garages: A, B or C. For more parking info. CLICK HERE.",,Yes,57
Stepping Stones Story Time,09/13/2016,Sep,FY 17,Damascus,Storytime,ACE - All Children Excel,Z_For VS use only,Preschool and Kindergarten,Babies and Toddlers,,For children ages newborn to 5. Each session begins with simple rhymes and activities for the youngest children; transitions are built-in so younger children can leave as stories and activities become more complex for the older preschoolers. Adults must accompany children age 2 and under; children ages 3-5 may attend with an adult or independently. Drop-in; no registration. Call 240-773-9444 for more information.,,Yes,83
Toddler Storytime,09/13/2016,Sep,FY 17,Silver Spring,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"**NOTE** We will be handing out tickets half an hour before storytime- starting at 10 o'clock, first come first served. Fun stories, songs and rhymes with lots of movement for wiggly toddlers. Help your child build pre-reading skills. Ages 18 to 36 months.",,Yes,80
Lap Time for Little Ones,09/13/2016,Sep,FY 17,Silver Spring,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"Stories, rhymes, bounces, and songs for children 0 to 18 months. Designed for parent/caregiver participation. ***NOTE*** We will be handing out tickets half an hour before storytime- starting at 11 o'clock, first come first served. Space is limited to 25 babies. Please come early.",,Yes,50
Stay and Play,09/13/2016,Sep,FY 17,Aspen Hill,Science & Math (STEM),ACE - All Children Excel,,Preschool and Kindergarten,,,Join us after Preschool Storytime from 11:30 am -12:00 pm for Stay and Play. There will be a variety of STEM and STEAM activities to enrich your child's imagination.,,Yes,
Tutoring and Homework Help,09/13/2016,Sep,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,No,
Tutoring and Homework Help,09/13/2016,Sep,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,Yes,14
Tutoring and Homework Help,09/13/2016,Sep,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor of the library. To register or for more information, please call Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,No,
Born To Read,09/14/2016,Sep,FY 17,Bethesda,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"Stories, rhymes, songs, chants, and other early literacy activities for babies 0 to 23 months with an adult. Free tickets will be handed out 30 minutes prior to the program. Space is limited.",,Yes,60
Preschool Storytime,09/14/2016,Sep,FY 17,Olney,Storytime,ACE - All Children Excel,,Preschool and Kindergarten,,,"Stories, rhymes, songs and fun for children ages 2 1/2 to 5.",,Yes,54
Toddler Storytime,09/14/2016,Sep,FY 17,Silver Spring,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"**NOTE** We will be handing out tickets half an hour before storytime- starting at 10 o'clock, first come first served. Fun stories, songs and rhymes with lots of movement for wiggly toddlers. Help your child build pre-reading skills. Ages 18 to 36 months.",,Yes,
Rhyme Time Storytime,09/14/2016,Sep,FY 17,Long Branch,Science & Math (STEM),Storytime,,Babies and Toddlers,Preschool and Kindergarten,,"A storytime for ages 5 and under, with a caregiver, that will include stories, fingerplays, songs and other early literacy activities. No registration required.",,Yes,21
Born To Read,09/14/2016,Sep,FY 17,Bethesda,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"Stories, rhymes, songs, chants and other early literacy activities for babies 0 to 23 months with an adult. Free tickets will be handed out 30 minutes prior to the program. Space is limited.",,Yes,25
Lap Time for Little Ones,09/14/2016,Sep,FY 17,Silver Spring,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"Stories, rhymes, bounces, and songs for children 0 to 18 months. Designed for parent/caregiver participation. ***NOTE*** We will be handing out tickets half an hour before storytime- starting at 11 o'clock, first come first served. Space is limited to 25 babies. Please come early.",,Yes,
Stepping Stones Story Time,09/14/2016,Sep,FY 17,Damascus,Storytime,ACE - All Children Excel,Z_For VS use only,Preschool and Kindergarten,Babies and Toddlers,,For children ages newborn to 5. Each session begins with simple rhymes and activities for the youngest children; transitions are built-in so younger children can leave as stories and activities become more complex for the older preschoolers. Adults must accompany children age 2 and under; children ages 3-5 may attend with an adult or independently. Drop-in; no registration. Call 240-773-9444 for more information.,,Yes,25
Homework Help,09/14/2016,Sep,FY 17,Wheaton,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,tumped by an Assignment? Stuck on a tough math problem? Want to practice for your Spelling Test? Wheaton Library's Homework Helpers are here for you! Homeowrk Helpers will be available for 30 minute 1 on 1 Help Sessions. Sign-up for your Homework Help Session on the Waiting List when you arrive.,,Yes,4
